user	topic	link	utterance	category
Sean	politics	https://twitter.com/search?q=%23FCKPTN&src=trend_click&vertical=trends&lf=on	It's your own damn fault that other countries are afraid of your BS and want safety.	lecture
Franz Heidl	politics	https://twitter.com/search?q=%23FCKPTN&src=trend_click&vertical=trends&lf=on	but I’m not really sure whet these should bring about considering Putin’s history as a pathological liar and treaty-breaker?	insinuation
Voiceofreason100	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	They got Bill, watch how they get him!!	insinuation
Something.I can'T remember anymore	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	You're kidding right?	dissent
IndieAir	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	Well I'm not insinuating that's how he goes out lol	lecture
Sakura Moonflower	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	Kenan is a sorely under-appreciated comedic talent and he has been for over 20 years	lecture
Sakura Moonflower	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	I've missed him since his years on All That.	concession
Shak	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	you acting like you could act better than him	insinuation
Shak	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	so what about all of those movie he was in?	lecture
Shak	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	why are you playing politics do this?	insinuation
Allison Toumala	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	The cleverest joke that no one laughed at.	lecture
TheSwitch747	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	That audience did not deserve this skit.	lecture
Jamaicanmecrazy	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	Swear Kennan doesn't get the credit he deserves.	insinuation
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	Credit for what. He's absolutely awful.	dissent
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	that speaks more to your extreme lack of taste	insinuation
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	And trust me, it isn't "many" others, if you disagree just take a look at the comments	lecture
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	He was decent then. Now he's fucking dreadful.	dissent
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	speaks more to the talent of the show. Or lack thereof.	dissent
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	They don't even try anymore	insinuation
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	Everyone is entitled to their opinion but he sucks	insinuation
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	The actual good actor moved onto movies,	lecture
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	Keenan had a couple movies but could never break the threshold like actual skilled actors such as will ferrel.	concession
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	And the fact that you find him funny says even more about your taste.	lecture
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	the fact that he's been on so long but can't land any sort of movie deal or sponsorship is proof enough he sucks.	insinuation
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	You're entire logic is retarded.	insinuation
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	Sorry you're to stupid to handle a conversation dipshit.	lecture
justin Kassel	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	I take the time for a well answered response and I'm a troll	lecture
Courage Karnga	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	This was hilarious and deeply depressing at the same time.	concession
Poodles rock	entertainment	https://www.youtube.com/watch?v=YrN2LCJRES4	Kenan Thompson is an awesome actor and comedian!!	praise
uncle yoongi	music	https://twitter.com/Yunkiminyoon/status/1499242297573076993	they went through so much but still manage to study and work hard.	praise
smiilingkookie	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	is such a good person, a good role model	praise
smiilingkookie	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	a good student on every single area	praise
smiilingkookie	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	he is such a good example to follow in each one of our lives	praise
smiilingkookie	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	He is teaching us so much since the day one, just by being himself	praise
kooksmiles	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	I have never seen anyone who looks better with long hair than jungkook.	praise
taestheticgukie	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	ok but taehyung gets way too soft and pouty while talking about jungkook 	lecture
Kristine Snow	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	You're one of the brightest star in Milky way	praise
JungkookChina	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	The whole world is congratulating Jungkook on his university graduation and receiving the President Award!	praise
amy bam's omma	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	anyways jungkook graduated with a bachelor’s degree and got awarded the president award while simultaneously working in arguably the biggest band in the world	lecture
amy bam's omma	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	you damn right im gonna idolise him	lecture
HITC Culture	music	https://twitter.com/search?q=Jungkook&src=trend_click&vertical=trends	The star graduates with flying colours from Global Cyber University with a prestigious President’s Award	praise
Rav	politics	https://twitter.com/search?q=%23Abramovich&src=trend_click&vertical=trends	Russian Money has crept in every corner of this country	insinuation
Rav	politics	https://twitter.com/search?q=%23Abramovich&src=trend_click&vertical=trends	To get it out we need systematically reform every organisation.	lecture
Omuya	sport	https://twitter.com/search?q=%23Abramovich&src=trend_click&vertical=trends	You won't be forgotten sir and I believe you deserve a statue outside	praise
Omuya	sport	https://twitter.com/search?q=%23Abramovich&src=trend_click&vertical=trends	You the best that have ever happen to CFC	praise
Omuya	sport	https://twitter.com/search?q=%23Abramovich&src=trend_click&vertical=trends	I just can't imagine CFC without you.	concession
Omuya	sport	https://twitter.com/search?q=%23Abramovich&src=trend_click&vertical=trends	A true owner who understands 	praise
snehasish mondal	sport	https://twitter.com/search?q=%23Abramovich&src=trend_click&vertical=trends	No words no gestures can measure what you’ve done for Chelsea Football Club,	praise
snehasish mondal	sport	https://twitter.com/search?q=%23Abramovich&src=trend_click&vertical=trends	It's heart breaking to bid you goodbye 	dissent
Esabu Andrew	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	It's hurting that he might leave us soon	concession
Esabu Andrew	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	I doubt whether the bridge will still stand	insinuation
General Burk	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Amazing what dirty stolen money can achieve	insinuation
KAI HAVERTZ	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	If you ever think all other top clubs money are legal	insinuation
josey0563	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Won’t be much when your trophies are in dust	lecture
Del Boy	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	19 trophies bought with money looted from the old Soviet Union.	insinuation
fosu Bismark	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Thank you the best owner of all time	praise
PHOTOGRAPHER	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	We will forever be grateful	Praise
stöne	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	What’s noble about a corrupt oligarch who has benefited from and participated in an oppressive regime	dissent
stöne	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Anyone who supports this man is complicit.	lecture
JH	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	buying trophies with dirty money	insinuation
Peter Swayles	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Not very timely or sensitive to be posting this old lad	lecture
Peter Swayles	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	get someone to explain that to you	lecture
Bardney Boy	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Money stolen from the Russian people and laundered through London with the approval of the Selfservatives.	insinuation
KINGZ AUTO CONNECT	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Money bought you trophies.. this is the end.	lecture
Derek Brosnan	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Even more interesting is the number of Ukrainian people who died as a result of his munitions factory's output.	lecture
Derek Brosnan	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Or the number of Russian people who died because of the £10 billion he took off with by cosying up to Putin.	lecture
common sense	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	You should thank the people of Russia for that.	lecture
Wth	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	The oligarchs robbed state assets from the Russian people	dissent
Wth	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Formed a mob to protect it 	insinuation
Wth	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	laundered their money through the UK	insinuation
Wth	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	bought politicans to protect them 	insinuation
Wth	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	and in this case a football club to sportswash their images.	insinuation
Will Gates	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Praise the club and it’s players, not the criminal owners	lecture
Meat Ismurder	sport	https://twitter.com/kai_havertz28/status/1498974343103229960	Irrelevant. All naught and paid for with stolen blood money.	dissent
alex lover	music	https://twitter.com/babylonsupremcy/status/1499157732905164803	literally cannot get it out of my head	concession
maria	music	https://twitter.com/babylonsupremcy/status/1499157732905164803	That was my first thought, knew i couldn't be the only one	concession
Nex is a complete mess	music	https://twitter.com/babylonsupremcy/status/1499157732905164803	THATS LITERALLY SO FUNNY LMFAO	praise
ece is a complete mess	music	https://twitter.com/babylonsupremcy/status/1499157732905164803	I CANT UNSEE IT	concession
castelinho is a complete mess	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	I’M CRYING OMG ITS SO PERFECT	praise
YASMIN is a complete mess	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	I feel like this scene resembles the strong bond they have	praise
YASMIN is a complete mess	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	no matter what they go through	concession
YASMIN is a complete mess	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	no matter how they fight or how hard it gets - they’re there for each other	concession
mgcthinker	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	this band's the reason why im still alive	praise
emma	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	they’ve outdone themselves.	praise
emma	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	the lyrics, vocals, the entire song is absolutely wonderful	praise
emma	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	isn’t it such an amazing feeling to support your favorite band thru everything and feel that they’re appreciating you so much?	concession
emma	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	we’re the BEST team !	praise
rhi's  seeing 5SOS	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	EVERYONE COME HERE AND GIVE MICHAEL A ROUND OF APPLAUSE FOR HIS INSANE PRODUCER SKILLS	praise
ludovica 66	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	such a fucking banger	praise
ludovica 66	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	i am genuinely crying so hard	concession
lukescomfort	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	i know it's not about winners and losers, but today we REALLY won 	concession
conejito_jkm	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	I can see myself freaking out over this song for the next six months 	concession
gio is a complete mess	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	BLUE LOOKS SO GOOD ON YOU MIKE	praise
Micky complete mess	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	This two are the best to describes real and deep friendship 	praise
john	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	when you asked them to repeat it 3 times already but you still havent understood what they said	concession
jaza	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	oh so this is what heaven sounds like?	praise
ashton (is cool)	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	holy shit I just realized they are stand in the CALM order	concession
MIA is a complete mess	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	music video would be so good to watch when you’re high	concession
seyuw4mi	music	https://twitter.com/search?q=%23COMPLETEMESS&src=trend_click&vertical=trends	im shaking, you make me a complete mess guys	concession
Area54	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	The OU courses are of excellent quality,	praise
Area54	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	so these are well worth looking at	praise
Area54	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	I was impressed by the range that was available	concession
paulsutton	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	If you are interested in Astronomy and Space I suggest  In the Night sky : Orion,	lecture
paulsutton	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	there is a lot of crossover with other courses,  which is sometimes a good thing	concession
paulsutton	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	And if you need to discuss something further you could always ask here on the forum.	lecture
Qeser	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	How effective are these courses?	insinuation
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	I would expect the definition of "effective" to differ between students	lecture
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	Perhaps you can describe the effects you're looking for? 	lecture
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	I would also add that effectiveness is typically more dependent on the student than on the lecture itself.	lecture
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	Lectures generally gives you an idea of a topic with some examples.	lecture
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	However mastery of the subject requires additional engagement with the subject.	lecture
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	At least if you want to go beyond just the next exam.	lecture
Ferased	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	The effectiveness of the courses depends on 80% of the student	insinuation
Ferased	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	The teacher can teach him, give interesting tasks, use interactive teaching methods	insinuation
Ferased	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	However, if a student does not want to study, the courses will not be practical. 	insinuation
Ferased	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	Of course, not all people are like that. 	concession
Ferased	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	Some people need to spend several hours reading books and assimilating the material. 	insinuation
Ferased	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	When I was in college, I couldn't pass physics, no matter how hard I tried.	concession
Ferased	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	First of all, see if the formed courses are suitable for you.	lecture
CharonY	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	That is certainly true.	concession
CharonY	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	Most students do not realize that a lecture is supposed to be a general guidance to the material, and is not the material itself.	insinuation
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	Then asking how effective the courses are seems like it's only going to be 20% effective. 	insinuation
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	Also, you can't have two accounts here	lecture
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	especially if you're going to use one of them as a sockpuppet to comment on the other's posts	insinuation
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	doubly especially if you're going to use them to advertise crap websites	insinuation
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	Decide whether you want to stay to discuss science, and which account you want to keep	lecture
Phi for All	education	https://www.scienceforums.net/topic/122836-open-learning-free-short-courses/	or I can spam-ban both, if you're not here for science discussion.	insinuation
Phi for All	education	https://www.scienceforums.net/topic/96516-youtube-channels-on-science/	We are not here to advertise for you.	lecture
Phi for All	education	https://www.scienceforums.net/topic/96516-youtube-channels-on-science/	If you are joining just to advertise your YouTube Channel, your links will be removed	insinuation
EdEarl	education	https://www.scienceforums.net/topic/96516-youtube-channels-on-science/	There are many, includng SciShow and Phisics Girl for a variety of quick explanations	concession
EdEarl	education	https://www.scienceforums.net/topic/96516-youtube-channels-on-science/	At the other end of the spectrum, many universities have recorded lectures by professors	concession
EdEarl	education	https://www.scienceforums.net/topic/96516-youtube-channels-on-science/	for example Leonard Susskind of Stanford. For science news, a site like Phys.org or another is good	praise
EdEarl	education	https://www.scienceforums.net/topic/96516-youtube-channels-on-science/	there is not a formula for research, except be persistent.	lecture
